更新时间,#genre#
CCTV-4,http://58.216.229.130:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.48.37.158:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.51.111.46:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.57.21.166:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://36.35.16.98:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4,http://118.122.189.74:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://223.11.153.2:7777/rtp/239.1.1.10:8010$1920x1080
CCTV-4,http://110.177.146.171:888/rtp/239.1.1.10:8010$1920x1080
CCTV-4,http://121.29.111.242:8888/rtp/239.253.93.192:6370$1920x1080
CCTV-4,http://36.49.51.252:30007/rtp/239.37.0.022:5540$1920x1080
CCTV-4,http://60.164.128.167:8029/rtp/239.255.30.83:8231
CCTV-4,http://60.168.231.252:2000/rtp/238.1.78.236:7760$1920x1080
CCTV-4,http://60.168.224.91:2000/rtp/238.1.78.236:7760$1920x1080
CCTV-5,http://220.164.192.48:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://59.173.243.210:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://61.157.139.15:9901/tsfile/live/2375_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://36.35.16.98:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://122.139.47.206:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5,http://58.57.21.166:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://119.163.228.205:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://223.11.153.2:7777/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://110.177.146.171:888/rtp/239.1.1.11:8011$1920x1080
CCTV-5,http://121.29.111.242:8888/rtp/239.253.92.181:6046$1920x1080
CCTV-5,http://36.49.51.252:30007/rtp/239.37.0.232:5540$1920x1080
CCTV-5,http://36.49.51.252:30007/rtp/239.37.0.190:5540$1920x1080
CCTV-5,http://60.164.128.167:8029/rtp/239.255.29.13:8231
CCTV-5,http://60.168.231.252:2000/rtp/238.1.78.171:7240$1920x1080
CCTV-5,http://60.168.224.91:2000/rtp/238.1.78.171:7240$1920x1080
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://119.163.228.205:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://119.163.63.188:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://61.138.128.226:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://58.51.111.46:1111/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://117.27.190.42:9998/tsfile/live/23248_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://58.48.5.186:1111/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://220.249.114.102:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://223.11.153.2:7777/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://110.177.146.171:888/rtp/239.1.1.12:8012$1920x1080
CCTV-5+,http://121.29.111.242:8888/rtp/239.253.92.82:8013$1920x1080
CCTV-5+,http://36.49.51.252:30007/rtp/239.37.0.121:5540$1920x1080
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231
CCTV-5+,http://60.168.231.252:2000/rtp/238.1.78.237:7768$1920x1080
CCTV-5+,http://60.168.224.91:2000/rtp/238.1.78.237:7768$1920x1080
CCTV-6,http://202.100.46.58:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://58.48.5.186:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://59.62.8.250:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://218.3.138.25:1111/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.129.70.178:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://210.22.75.86:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://119.163.63.188:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://59.173.243.210:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://112.234.23.81:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://223.11.153.2:7777/rtp/239.1.1.13:8013$1920x1080
CCTV-6,http://110.177.146.171:888/rtp/239.1.1.13:8013$1920x1080
CCTV-6,http://121.29.111.242:8888/rtp/239.253.92.193:6058$1920x1080
CCTV-6,http://36.49.51.252:30007/rtp/239.37.0.233:5540$1920x1080
CCTV-6,http://36.49.51.252:30007/rtp/239.37.0.191:5540$1920x1080
CCTV-6,http://60.164.128.167:8029/rtp/239.255.29.14:8231
CCTV-6,http://60.168.231.252:2000/rtp/238.1.78.172:7248$1920x1080
CCTV-6,http://60.168.224.91:2000/rtp/238.1.78.172:7248$1920x1080
CCTV-7,http://221.213.69.82:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://113.57.20.158:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://118.122.189.74:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://59.62.8.250:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://112.234.23.81:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://119.163.228.205:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://58.57.21.166:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://210.22.75.86:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://61.138.128.226:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://223.11.153.2:7777/rtp/239.1.1.14:8014$1920x1080
CCTV-7,http://110.177.146.171:888/rtp/239.1.1.14:8014$1920x1080
CCTV-7,http://121.29.111.242:8888/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://60.164.128.167:8029/rtp/239.255.30.178:8231
CCTV-7,http://60.168.231.252:2000/rtp/238.1.78.239:7784$1920x1080
CCTV-7,http://60.168.224.91:2000/rtp/238.1.78.239:7784$1920x1080
CCTV-8,http://61.138.128.226:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://124.128.73.58:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://220.249.114.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://119.163.228.205:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://61.136.67.238:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://58.51.111.46:1111/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://117.27.190.42:9998/tsfile/live/23239_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://220.164.192.48:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8,http://223.11.153.2:7777/rtp/239.1.1.15:8015$1920x1080
CCTV-8,http://110.177.146.171:888/rtp/239.1.1.15:8015$1920x1080
CCTV-8,http://121.29.111.242:8888/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://36.49.51.252:30007/rtp/239.37.0.234:5540$1920x1080
CCTV-8,http://36.49.51.252:30007/rtp/239.37.0.192:5540$1920x1080
CCTV-8,http://60.164.128.167:8029/rtp/239.255.29.15:8231
CCTV-8,http://60.168.231.252:2000/rtp/238.1.78.173:7256$1920x1080
CCTV-8,http://60.168.224.91:2000/rtp/238.1.78.173:7256$1920x1080
CCTV-9,http://59.173.243.210:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://223.241.247.214:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://58.220.219.14:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://61.138.128.226:19901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://58.48.37.158:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://202.100.46.58:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://58.48.5.186:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://61.136.67.238:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://58.57.21.166:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://61.157.139.15:9901/tsfile/live/2379_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://223.11.153.2:7777/rtp/239.1.1.16:8016$1920x1080
CCTV-9,http://110.177.146.171:888/rtp/239.1.1.16:8016$1920x1080
CCTV-9,http://121.29.111.242:8888/rtp/239.253.92.107:6020$1920x1080
CCTV-9,http://36.49.51.252:30007/rtp/239.37.0.001:5540$1920x1080
CCTV-9,http://36.49.51.252:30007/rtp/239.37.0.122:5540$1920x1080
CCTV-9,http://60.164.128.167:8029/rtp/239.255.30.180:8231
CCTV-9,http://60.168.231.252:2000/rtp/238.1.78.240:7792$1920x1080
CCTV-9,http://60.168.224.91:2000/rtp/238.1.78.240:7792$1920x1080
CCTV-10,http://119.163.228.205:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://36.35.16.98:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://220.249.114.102:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://221.213.69.82:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://220.164.192.48:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-10,http://61.157.139.15:9901/tsfile/live/2380_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://112.234.23.81:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://117.27.190.42:9998/tsfile/live/23241_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://58.216.229.130:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://61.136.67.238:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://223.11.153.2:7777/rtp/239.1.1.17:8017$1920x1080
CCTV-10,http://110.177.146.171:888/rtp/239.1.1.17:8017$1920x1080
CCTV-10,http://121.29.111.242:8888/rtp/239.253.92.196:6061$1920x1080
CCTV-10,http://36.49.51.252:30007/rtp/239.37.0.007:5540$1920x1080
CCTV-10,http://36.49.51.252:30007/rtp/239.37.0.025:5540$1920x1080
CCTV-10,http://60.164.128.167:8029/rtp/239.255.30.181:8231
CCTV-10,http://60.168.231.252:2000/rtp/238.1.78.241:7800$1920x1080
CCTV-10,http://60.168.224.91:2000/rtp/238.1.78.241:7800$1920x1080
CCTV-11,http://58.51.111.46:1111/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://118.122.189.74:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://202.100.46.58:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://122.139.47.206:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://117.27.190.42:9998/tsfile/live/23242_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://220.164.192.48:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-11,http://58.57.21.166:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://59.62.8.250:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://220.249.114.102:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://223.11.153.2:7777/rtp/239.1.1.18:8018$1920x1080
CCTV-11,http://110.177.146.171:888/rtp/239.1.1.18:8018$1920x1080
CCTV-11,http://121.29.111.242:8888/rtp/239.253.93.153:6321$1920x1080
CCTV-11,http://36.49.51.252:30007/rtp/239.37.0.026:5540$1920x1080
CCTV-11,http://60.164.128.167:8029/rtp/239.255.30.62:8231
CCTV-11,http://60.168.231.252:2000/rtp/238.1.78.206:7502$1920x1080
CCTV-11,http://60.168.224.91:2000/rtp/238.1.78.206:7502$1920x1080
CCTV-12,http://221.213.69.82:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://112.234.23.81:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://59.173.243.210:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://58.220.219.14:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://119.163.228.205:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://113.57.20.158:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://58.48.5.186:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://58.216.229.130:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://117.27.190.42:9998/tsfile/live/23243_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://223.11.153.2:7777/rtp/239.1.1.19:8019$1920x1080
CCTV-12,http://110.177.146.171:888/rtp/239.1.1.19:8019$1920x1080
CCTV-12,http://121.29.111.242:8888/rtp/239.253.92.197:6062$1920x1080
CCTV-12,http://36.49.51.252:30007/rtp/239.37.0.006:5540$1920x1080
CCTV-12,http://36.49.51.252:30007/rtp/239.37.0.027:5540$1920x1080
CCTV-12,http://60.164.128.167:8029/rtp/239.255.30.182:8231
CCTV-12,http://60.168.231.252:2000/rtp/238.1.78.242:7808$1920x1080
CCTV-12,http://60.168.224.91:2000/rtp/238.1.78.242:7808$1920x1080
CCTV-13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://118.122.189.74:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://122.139.47.206:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://58.48.37.158:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://112.234.23.81:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://223.11.153.2:7777/rtp/239.1.1.20:8020$1920x1080
CCTV-13,http://110.177.146.171:888/rtp/239.1.1.20:8020$1920x1080
CCTV-13,http://121.29.111.242:8888/rtp/239.253.92.13:8008$1920x1080
CCTV-13,http://36.49.51.252:30007/rtp/239.37.0.028:5540$1920x1080
CCTV-13,http://60.164.128.167:8029/rtp/239.255.29.28:8231
CCTV-13,http://60.168.231.252:2000/rtp/238.1.79.35:4392$1920x1080
CCTV-13,http://60.168.224.91:2000/rtp/238.1.79.35:4392$1920x1080
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://221.213.69.82:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://61.157.139.15:9901/tsfile/live/2384_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://220.164.192.48:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-14,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://112.234.23.81:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://113.57.20.158:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://223.11.153.2:7777/rtp/239.1.1.21:8021$1920x1080
CCTV-14,http://110.177.146.171:888/rtp/239.1.1.21:8021$1920x1080
CCTV-14,http://121.29.111.242:8888/rtp/239.253.92.198:6063$1920x1080
CCTV-14,http://36.49.51.252:30007/rtp/239.37.0.005:5540$1920x1080
CCTV-14,http://36.49.51.252:30007/rtp/239.37.0.029:5540$1920x1080
CCTV-14,http://60.164.128.167:8029/rtp/239.255.30.183:8231
CCTV-14,http://60.168.231.252:2000/rtp/238.1.78.243:7816$1920x1080
CCTV-14,http://60.168.224.91:2000/rtp/238.1.78.243:7816$1920x1080
CCTV-15,http://61.157.139.15:9901/tsfile/live/2385_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://223.241.247.214:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.220.219.14:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.129.70.178:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://113.57.20.158:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://59.62.8.250:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://220.164.192.48:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-15,http://117.27.190.42:9998/tsfile/live/23246_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://223.11.153.2:7777/rtp/239.1.1.22:8022$1920x1080
CCTV-15,http://110.177.146.171:888/rtp/239.1.1.22:8022$1920x1080
CCTV-15,http://121.29.111.242:8888/rtp/239.253.93.154:6322$1920x1080
CCTV-15,http://36.49.51.252:30007/rtp/239.37.0.030:5540$1920x1080
CCTV-15,http://60.164.128.167:8029/rtp/239.255.30.68:8231
CCTV-15,http://60.168.231.252:2000/rtp/238.1.78.222:7648$1920x1080
CCTV-15,http://60.168.224.91:2000/rtp/238.1.78.222:7648$1920x1080
CCTV-16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://61.138.128.226:19901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
